label,Name,Great Basin,Catostomini
C_WallCanyon_OSX61,C. sp. Wall Canyon,Yes,Yes
C_ardens_USU_UBL,C. ardens,Yes,Yes
Ch_liorus_mictus_BYU56945,Ch. liorus mictus,Yes,Yes
C_macrocheilus_OS15886,C. macrocheilus,Yes,Yes
C_tsiltcoosensis_OSX113,C. tsiltcoosensis,No,Yes
C_columbianus_OS17548,C. columbianus,Yes,Yes
C_tahoensis_OS112221BB,C. tahoensis,Yes,Yes
C_bernardiniBRK0507_2,C. bernardini,No,Yes
C_leopoldi,C. leopoldi,No,Yes
C_cahita_BRK0511_6,C. cahita,No,Yes
C_wigginsi_JEB0511_1,C. wigginsi,No,Yes
C_insignis_MSB49603_2,C. insignis,No,Yes
X_texanus_OSX97,X. texanus,No,Yes
C_latipinnis_MSB49601,C. latipinnis,No,Yes
C_catostom_1_2,C. catostomus,No,Yes
C_commersoni_UAIC11156_03,C. commersoni,No,Yes
C_platyrhyn_BYU58618,P. platyrhynchus,Yes,Yes
P_clarkii_MSB49600,P. clarkii,Yes,Yes
P_disco_yar_UAIC12776_01_2,P. discobolus jarrovii,No,Yes
P_discobolus_BYU57986,P. discobolus,Yes,Yes
P_santa_UAIC12384_01,P. santaanae,No,Yes
C_plebius_DAN0521_10,P. plebius,No,Yes
P_nebuliferus,P. nebuliferus,No,Yes
Car_carpio_UAIC11219_08,Car. carpio,No,No
Car_velifer_TU108_16,Car. velifer,No,No
Car_cyprinus_TU157_01,Car. cyprinus,No,No
I_cyprinellus_TU107_15,I. cyprinellus,No,No
I_niger_TU121_01,I. niger,No,No
Cyc_elonga_UAIC11371_01,Cyc. elongatus,No,No
Cyc_merdion_UNL1_30,Cyc. meridionalis,No,No
Myxocyprinus_UAIC11698_01,Myx. asiaticus,No,No
E_oblongus_1_2,E. oblongus,No,No
E_tenuis_UAIC12370_04,E. tenuis,No,No
Min_melano_1,Min. melanops,No,No
M_carinatu_UAIC11005_03,Mox. carinatum,No,No
M_erythrur_UAIC12237_03,Mox. erythrurum,No,No
M_robustum_UAIC11916_01,Mox. robustum,No,No
T_atripinn_UAIC13463_01,T. atripinnis,No,No
T_rhothoeca_UAIC11009_05,T. rhothoeca,No,No
C_microps_OS17571_1,C. microps,No,Yes
C_occ_lac_OS1943BB,C. occ. lacusanserinus,No,Yes
C_occ_mnio_UAIC13448_01_2,C. occ. mniotiltus,No,Yes
C_occ_occ_UAIC11546_02_1,C. occ. occidentalis,No,Yes
C_occ_hum_OS15623_1,C. occ. humboldtianus,No,Yes
C_rimiculus_OS15908,C. rimiculus,No,Yes
D_luxatus_OS15922,D. luxatus,No,Yes
C_snyderi_OS15900,C. snyderi,No,Yes
Ch_brevirostris_OS15963,Ch. brevirostris,No,Yes
C_fumeventris1,C. fumeiventris,Yes,Yes
C_warnerensis_OS14251_2,C. warnerensis,Yes,Yes
Chasmistes_cujus,Ch. cujus,Yes,Yes
